Event,Location,Year,Result,Seconds,Avg Time,Change value
800M Men,Amsterdam,1928,01:51.8,111.8,105.85,8.87
800M Men,Los Angeles,1932,01:49.8,109.8,,
800M Men,Berlin,1936,01:52.9,112.9,,
800M Men,London,1948,01:49.2,109.2,,
800M Men,Helsinki,1952,01:49.2,109.2,,
800M Men,Melbourne / Stockholm,1956,01:47.7,107.7,,
800M Men,Rome,1960,01:46.3,106.3,,
800M Men,Tokyo,1964,01:45.1,105.1,,
800M Men,Mexico,1968,01:44.3,104.3,,
800M Men,Munich,1972,01:45.9,105.9,,
800M Men,Montreal,1976,01:43.5,103.5,,
800M Men,Moscow,1980,01:45.4,105.4,,
800M Men,Los Angeles,1984,01:43.0,103,,
800M Men,Barcelona,1992,01:43.7,103.7,,
800M Men,Atlanta,1996,01:42.6,102.6,,
800M Men,Sydney,2000,01:45.1,105.1,,
800M Men,Athens,2004,01:44.5,104.5,,
800M Men,Beijing,2008,01:44.7,104.7,,
800M Men,London,2012,01:40.9,100.9,,
800M Men,Rio,2016,01:42.2,102.2,,
800M Men,Tokyo,2021,01:45.1,105.1,,
,,,,,,
,,,,,,
